game_id,date,home_team,away_team,home_win,home_game_number,away_game_number,home_season_period,away_season_period,season,home_avg,home_obp,home_slg,home_ops,home_runs,home_hits,home_era,home_whip,home_win_pct,away_avg,away_obp,away_slg,away_ops,away_runs,away_hits,away_era,away_whip,away_win_pct
509798,2017-03-28,142,139,True,1,1,early,early,2017,0.26,0.334,0.434,0.768,815,1444,4.59,1.37,0.525,0.245,0.317,0.422,0.739,694,1340,3.97,1.26,0.494
509541,2017-03-28,144,110,False,1,1,early,early,2017,0.263,0.326,0.412,0.738,732,1467,4.72,1.42,0.444,0.26,0.312,0.435,0.747,743,1469,4.97,1.45,0.463
509762,2017-03-28,146,117,False,1,1,early,early,2017,0.267,0.331,0.431,0.762,778,1497,4.82,1.44,0.475,0.282,0.346,0.478,0.824,896,1581,4.12,1.27,0.623
509817,2017-03-28,121,138,False,1,1,early,early,2017,0.25,0.32,0.434,0.754,735,1379,5.01,1.49,0.432,0.256,0.334,0.426,0.76,761,1402,4.01,1.3,0.512
509661,2017-03-28,115,140,False,1,1,early,early,2017,0.273,0.338,0.444,0.782,824,1510,4.51,1.38,0.537,0.244,0.32,0.43,0.75,799,1326,4.66,1.4,0.481
509628,2017-03-28,113,119,True,1,1,early,early,2017,0.253,0.329,0.433,0.762,753,1390,5.17,1.45,0.42,0.249,0.334,0.437,0.771,770,1347,3.38,1.15,0.642
509746,2017-03-28,119,135,True,1,1,early,early,2017,0.249,0.334,0.437,0.771,770,1347,3.38,1.15,0.642,0.234,0.299,0.393,0.692,604,1251,4.67,1.38,0.438
509594,2017-03-28,112,137,False,1,1,early,early,2017,0.255,0.338,0.437,0.775,822,1402,3.95,1.28,0.568,0.249,0.309,0.38,0.689,639,1382,4.5,1.38,0.395
509710,2017-03-28,118,145,True,1,1,early,early,2017,0.259,0.311,0.42,0.731,702,1436,4.61,1.39,0.494,0.256,0.314,0.417,0.731,706,1412,4.78,1.42,0.414
509780,2017-03-28,158,114,True,1,1,early,early,2017,0.249,0.322,0.429,0.751,732,1363,4.0,1.34,0.531,0.263,0.339,0.449,0.788,818,1449,3.3,1.16,0.63
509728,2017-03-28,108,133,True,1,1,early,early,2017,0.243,0.315,0.397,0.712,710,1314,4.2,1.28,0.494,0.246,0.319,0.436,0.755,739,1344,4.67,1.36,0.463
509940,2017-03-28,136,109,False,1,1,early,early,2017,0.259,0.325,0.424,0.749,750,1436,4.46,1.31,0.481,0.254,0.329,0.445,0.774,812,1405,3.66,1.27,0.574
509888,2017-03-28,134,111,False,1,1,early,early,2017,0.244,0.318,0.386,0.704,668,1331,4.22,1.37,0.463,0.258,0.329,0.407,0.736,785,1461,3.7,1.25,0.574
509869,2017-03-28,143,141,False,1,1,early,early,2017,0.25,0.315,0.409,0.724,690,1382,4.55,1.39,0.407,0.24,0.312,0.412,0.724,693,1320,4.42,1.37,0.469
510030,2017-03-28,120,146,False,1,1,early,early,2017,0.266,0.332,0.449,0.781,819,1477,3.88,1.24,0.599,0.267,0.331,0.431,0.762,778,1497,4.82,1.44,0.475
509834,2017-03-28,147,116,False,1,1,early,early,2017,0.262,0.339,0.447,0.786,858,1463,3.72,1.21,0.562,0.258,0.324,0.424,0.748,735,1435,5.36,1.5,0.395
509958,2017-03-29,138,120,True,1,1,early,early,2017,0.256,0.334,0.426,0.76,761,1402,4.01,1.3,0.512,0.266,0.332,0.449,0.781,819,1477,3.88,1.24,0.599
509975,2017-03-29,139,110,True,1,2,early,early,2017,0.245,0.317,0.422,0.739,694,1340,3.97,1.26,0.494,0.26,0.312,0.435,0.747,743,1469,4.97,1.45,0.463
509577,2017-03-29,111,142,False,1,1,early,early,2017,0.258,0.329,0.407,0.736,785,1461,3.7,1.25,0.574,0.26,0.334,0.434,0.768,815,1444,4.59,1.37,0.525
509680,2017-03-29,116,143,False,1,1,early,early,2017,0.258,0.324,0.424,0.748,735,1435,5.36,1.5,0.395,0.25,0.315,0.409,0.724,690,1382,4.55,1.39,0.407
509889,2017-03-29,134,143,False,2,2,early,early,2017,0.244,0.318,0.386,0.704,668,1331,4.22,1.37,0.463,0.25,0.315,0.409,0.724,690,1382,4.55,1.39,0.407
509542,2017-03-29,144,121,False,2,1,early,early,2017,0.263,0.326,0.412,0.738,732,1467,4.72,1.42,0.444,0.25,0.32,0.434,0.754,735,1379,5.01,1.49,0.432
509695,2017-03-29,117,146,False,1,2,early,early,2017,0.282,0.346,0.478,0.824,896,1581,4.12,1.27,0.623,0.267,0.331,0.431,0.762,778,1497,4.82,1.44,0.475
510011,2017-03-29,141,147,False,1,1,early,early,2017,0.24,0.312,0.412,0.724,693,1320,4.42,1.37,0.469,0.262,0.339,0.447,0.786,858,1463,3.72,1.21,0.562
509629,2017-03-29,113,114,False,2,2,early,early,2017,0.253,0.329,0.433,0.762,753,1390,5.17,1.45,0.42,0.263,0.339,0.449,0.788,818,1449,3.3,1.16,0.63
509711,2017-03-29,118,140,False,2,2,early,early,2017,0.259,0.311,0.42,0.731,702,1436,4.61,1.39,0.494,0.244,0.32,0.43,0.75,799,1326,4.66,1.4,0.481
