iter	Logloss
0	0.6916408678
1	0.6902592799
2	0.6888092333
3	0.6875820173
4	0.6863815976
5	0.6853050817
6	0.6842517711
7	0.6831920306
8	0.6822390489
9	0.6812779691
10	0.6803876534
11	0.6795289055
12	0.6787380733
13	0.6780632325
14	0.677315954
15	0.6766097952
16	0.6759326376
17	0.6752990715
18	0.6746495128
19	0.6740001626
20	0.6734660009
21	0.6728895239
22	0.6723911066
23	0.6718907002
24	0.6714546123
25	0.6709702605
26	0.6705322249
27	0.6701074959
28	0.6697066074
29	0.6693041861
30	0.6688512053
31	0.6684713046
32	0.6680898948
33	0.6677885579
34	0.6674680525
35	0.6670437263
36	0.6667646879
37	0.6665103573
38	0.6662326544
39	0.6659954247
40	0.6657118222
41	0.6654372659
42	0.6651735865
43	0.6648914692
44	0.6645536149
45	0.6643182476
46	0.6640637209
47	0.6638452756
48	0.6636495601
49	0.6634135744
50	0.6632242302
51	0.6629922781
52	0.662781117
53	0.6625665632
54	0.662412193
55	0.6622480175
56	0.6620374117
57	0.6618400758
58	0.6617165244
59	0.6615566421
60	0.6613150728
61	0.6610857335
62	0.6609592627
63	0.6608358869
64	0.660679443
65	0.6604134849
66	0.6601846665
67	0.6600104174
68	0.6598449744
69	0.6596949595
70	0.6595226389
71	0.6593947964
72	0.6592548324
73	0.65909402
74	0.6589476644
75	0.6587999658
76	0.6587159208
77	0.6585860791
78	0.6585064578
79	0.6583823171
80	0.6582101014
81	0.6580730328
82	0.6579142415
83	0.6577929028
84	0.6576732421
85	0.6575100097
86	0.6573455021
87	0.6572638626
88	0.6571537264
89	0.6570350737
90	0.656879435
91	0.6567489321
92	0.6566145128
93	0.656434248
94	0.6562493086
95	0.656161014
96	0.6560440395
97	0.6559051415
98	0.6557972734
99	0.6556601231
100	0.6555413593
101	0.6554754288
102	0.6553734933
103	0.6552414101
104	0.6551360164
105	0.6550233985
106	0.6548953319
107	0.6547969952
108	0.6546611333
109	0.654483515
110	0.6543897425
111	0.6543359143
112	0.6542338143
113	0.6541580061
114	0.654025822
115	0.6539355964
116	0.6538673
117	0.6537741068
118	0.6536792167
119	0.6535543301
120	0.6533937038
121	0.65326646
122	0.6531527164
123	0.6529640831
124	0.6529011022
125	0.6528432704
126	0.6527616267
127	0.6526709788
128	0.6525028993
129	0.652382421
130	0.6523117723
131	0.652184083
132	0.6521134712
133	0.6520142787
134	0.6518624096
135	0.6516867679
136	0.6515820995
137	0.6514582808
138	0.6513791673
139	0.6513222331
140	0.6511696759
141	0.6510887159
142	0.6509091328
143	0.6507912651
144	0.6506385613
145	0.650518363
146	0.6503914034
147	0.6502854456
148	0.650208311
149	0.6501192536
150	0.6500236053
151	0.6499560737
152	0.6499086577
153	0.6497896024
154	0.649707681
155	0.6496182971
156	0.6495595243
157	0.6494660781
158	0.6493775067
159	0.6492474992
160	0.6491691563
161	0.6490669
162	0.6489417444
163	0.6488685022
164	0.6487512403
165	0.648604726
166	0.6485411721
167	0.6484829524
168	0.6483932507
169	0.6482579309
170	0.6482031128
171	0.6481147201
172	0.6480279851
173	0.6479509211
174	0.6478832749
175	0.6477941168
176	0.6477393952
177	0.647616262
178	0.6475155252
179	0.6474692059
180	0.6473143669
181	0.6471733665
182	0.6470813732
183	0.6469223874
184	0.6467688899
185	0.6467228469
186	0.6466469418
187	0.6466007438
188	0.6465229531
189	0.6463555421
190	0.646291829
191	0.6462067033
192	0.6461188569
193	0.6460433452
194	0.6459635953
195	0.6458720747
196	0.6457340474
197	0.6456009862
198	0.6454543176
199	0.6453423315
200	0.6452451191
201	0.6451686642
202	0.645078559
203	0.6449770262
204	0.6448042029
205	0.6446799123
206	0.6446208109
207	0.6445410225
208	0.6444313185
209	0.6443845674
210	0.6442592195
211	0.6442101881
212	0.6441119345
213	0.6440287241
214	0.643939625
215	0.6438857989
216	0.6438007747
217	0.6437082806
218	0.6436066794
219	0.6435428464
220	0.6435005586
221	0.6434025499
222	0.6433615931
223	0.6432469836
224	0.6431373492
225	0.6430597756
226	0.6429931132
227	0.6428851491
228	0.6428201901
229	0.6426928425
230	0.6426517479
231	0.6425530773
232	0.6424478415
233	0.6424061315
234	0.6423430246
235	0.6422068035
236	0.6420747101
237	0.6420533288
238	0.6419856155
239	0.6419154028
240	0.6418415707
241	0.6417672823
242	0.6416655695
243	0.6416058086
244	0.6415205385
245	0.6414866739
246	0.6413482381
247	0.6411768684
248	0.6410283639
249	0.6409308259
250	0.6409039114
251	0.6408159919
252	0.64068492
253	0.6405618332
254	0.6405069727
255	0.6404463683
256	0.6403130217
257	0.6402737406
258	0.6402112727
259	0.640114625
260	0.6399826926
261	0.6399060049
262	0.639780131
263	0.6396740302
264	0.6395391806
265	0.6394139085
266	0.6393133368
267	0.6392325334
268	0.6391497026
269	0.6390443224
270	0.638906714
271	0.6387621006
272	0.6387132324
273	0.6386444569
274	0.6385596545
275	0.6385233261
276	0.6383887866
277	0.6383555031
278	0.6382395362
279	0.6381309146
280	0.6380252734
281	0.6379286116
282	0.6377994172
283	0.6377022091
284	0.6376105901
285	0.6375135711
286	0.6374480669
287	0.6372767952
288	0.6371887809
289	0.6371021263
290	0.6370020188
291	0.6368717625
292	0.6368045912
293	0.6366943251
294	0.6365711699
295	0.6363977623
296	0.6363100888
297	0.6361836868
298	0.6360769986
299	0.6360252419
300	0.6359275888
301	0.6358190848
302	0.6357084628
303	0.6355955112
304	0.6355384412
305	0.6354588866
306	0.63534604
307	0.6352702837
308	0.6351265419
309	0.6350533512
310	0.6349540897
311	0.6348433255
312	0.6347521846
313	0.6345907141
314	0.6345264449
315	0.6344139145
316	0.6343267133
317	0.634232843
318	0.6341423392
319	0.6340241186
320	0.633888034
321	0.6337658066
322	0.6336087781
323	0.6334785567
324	0.6333640742
325	0.6332819458
326	0.6332272481
327	0.6331309789
328	0.6330695276
329	0.6329431451
330	0.6327917734
331	0.6326975749
332	0.6326384662
333	0.6324673113
334	0.6323341442
335	0.6322897579
336	0.6321913213
337	0.6320627688
338	0.6320166141
339	0.6319596127
340	0.6318220298
341	0.6316272598
342	0.6315073112
343	0.6313507066
344	0.6312368012
345	0.6310703378
346	0.6309787794
347	0.6309410143
348	0.6308063552
349	0.6306409823
350	0.6305588006
351	0.6305202177
352	0.6304025205
353	0.6302668662
354	0.6302164276
355	0.6300785349
356	0.6299614802
357	0.6298729747
358	0.6297804888
359	0.6296683207
360	0.6295598761
361	0.6293895674
362	0.6292953227
363	0.6291947812
364	0.6291495788
365	0.6290355147
366	0.6289205894
367	0.6288352672
368	0.6287435504
369	0.628638247
370	0.6285519638
371	0.6285117546
372	0.6284182408
373	0.6283107188
374	0.6282108671
375	0.6281174273
376	0.6280010811
377	0.6278904788
378	0.6278382707
379	0.627742071
380	0.6276622887
381	0.6275600512
382	0.6275316508
383	0.6273751665
384	0.6272231382
385	0.6271567794
386	0.6270352889
387	0.6269178997
388	0.6268380528
389	0.62668377
390	0.6265900985
391	0.6264572147
392	0.6263481078
393	0.6262900413
394	0.626193059
395	0.6261035433
396	0.6260416812
397	0.625881481
398	0.6258318711
399	0.6257046702
400	0.625608495
401	0.6255214813
402	0.6254070454
403	0.6253415816
404	0.6252346562
405	0.6251050685
406	0.6250020541
407	0.6249037248
408	0.62480783
409	0.6246420977
410	0.6245511833
411	0.6244140258
412	0.624297924
413	0.6241074782
414	0.6240301024
415	0.6238644007
416	0.6237095702
417	0.6236440918
418	0.6235135207
419	0.6234398815
420	0.6233282896
421	0.6232504549
