iter	Passed	Remaining
0	7	7153
1	17	8772
2	22	7382
3	28	7079
4	33	6760
5	38	6325
6	44	6353
7	49	6088
8	53	5840
9	58	5828
10	69	6269
11	78	6439
12	85	6508
13	91	6429
14	102	6714
15	108	6655
16	115	6675
17	119	6528
18	126	6543
19	130	6413
20	138	6435
21	144	6421
22	148	6305
23	155	6337
24	161	6280
25	165	6186
26	170	6153
27	179	6247
28	193	6492
29	200	6477
30	208	6510
31	213	6443
32	217	6369
33	222	6333
34	228	6299
35	234	6276
36	240	6269
37	248	6282
38	252	6229
39	256	6164
40	262	6129
41	269	6152
42	275	6123
43	282	6145
44	290	6165
45	297	6175
46	304	6179
47	309	6130
48	313	6080
49	319	6072
50	323	6025
51	327	5968
52	344	6161
53	350	6135
54	354	6094
55	358	6048
56	364	6036
57	371	6033
58	377	6016
59	383	6002
60	387	5962
61	392	5933
62	397	5911
63	403	5898
64	408	5869
65	414	5867
66	419	5836
67	423	5801
68	433	5848
69	437	5813
70	443	5807
71	452	5835
72	458	5823
73	465	5823
74	470	5805
75	477	5800
76	486	5827
77	493	5832
78	501	5845
79	506	5823
80	512	5812
81	517	5793
82	521	5763
83	528	5765
84	533	5740
85	537	5711
86	543	5698
87	547	5672
88	551	5645
89	555	5618
90	561	5612
91	567	5597
92	571	5572
93	577	5569
94	581	5544
95	586	5526
96	595	5545
97	600	5523
98	608	5542
99	618	5567
100	625	5568
101	631	5556
102	635	5534
103	641	5525
104	645	5503
105	649	5480
106	654	5465
107	661	5462
108	667	5458
109	675	5468
110	690	5528
111	697	5526
112	710	5579
113	715	5564
114	723	5566
115	728	5551
116	733	5532
117	738	5517
118	744	5510
119	749	5492
120	756	5492
121	765	5512
122	774	5519
123	778	5501
124	782	5480
125	789	5474
126	793	5455
127	797	5434
128	804	5432
129	810	5425
130	816	5419
131	823	5412
132	827	5392
133	833	5384
134	837	5366
135	841	5347
136	847	5339
137	854	5336
138	862	5340
139	869	5338
140	875	5331
141	891	5385
142	909	5448
143	915	5443
144	920	5426
145	925	5416
146	931	5404
147	935	5387
148	940	5368
149	943	5348
150	951	5350
151	959	5351
152	964	5340
153	972	5339
154	976	5321
155	983	5320
156	988	5305
157	992	5287
158	998	5280
159	1005	5278
160	1011	5268
161	1016	5257
162	1022	5249
163	1029	5246
164	1035	5241
165	1039	5224
166	1046	5221
167	1052	5210
168	1056	5197
169	1063	5192
170	1068	5180
171	1078	5190
172	1087	5198
173	1094	5197
174	1100	5187
175	1104	5171
176	1111	5166
177	1117	5162
178	1124	5158
179	1129	5145
180	1148	5195
181	1155	5192
182	1161	5184
183	1165	5168
184	1170	5157
185	1178	5155
186	1182	5140
187	1186	5125
188	1192	5118
189	1197	5107
190	1206	5112
191	1213	5104
192	1217	5089
193	1227	5099
194	1231	5085
195	1236	5073
196	1243	5068
197	1248	5056
198	1254	5050
199	1261	5045
200	1266	5034
201	1273	5029
202	1280	5026
203	1292	5041
204	1297	5032
205	1303	5025
206	1310	5018
207	1316	5012
208	1322	5006
209	1327	4993
210	1331	4979
211	1338	4975
212	1343	4964
213	1347	4950
214	1354	4943
215	1358	4929
216	1363	4920
217	1369	4913
218	1374	4900
219	1380	4893
220	1387	4890
221	1391	4877
222	1395	4863
223	1407	4875
224	1411	4863
225	1418	4857
226	1423	4845
227	1427	4832
228	1433	4825
229	1439	4818
230	1444	4807
231	1451	4805
232	1455	4791
233	1462	4788
234	1469	4784
235	1475	4776
236	1486	4787
237	1495	4788
238	1503	4788
239	1508	4778
240	1515	4771
241	1520	4763
242	1526	4754
243	1532	4748
244	1536	4735
245	1542	4726
246	1551	4729
247	1558	4725
248	1564	4719
249	1569	4707
250	1574	4698
251	1580	4691
252	1584	4679
253	1589	4669
254	1596	4663
255	1600	4652
256	1605	4642
257	1610	4632
258	1614	4620
259	1619	4608
260	1625	4601
261	1630	4593
262	1637	4588
263	1646	4590
264	1651	4581
265	1657	4574
266	1672	4591
267	1681	4593
268	1691	4596
269	1701	4600
270	1712	4607
271	1719	4601
272	1726	4598
273	1735	4597
274	1746	4604
275	1760	4618
276	1765	4607
277	1774	4608
278	1781	4603
279	1787	4597
280	1793	4590
281	1799	4581
282	1803	4569
283	1810	4565
284	1816	4557
285	1821	4547
286	1827	4539
287	1832	4530
288	1837	4521
289	1844	4516
290	1849	4505
291	1856	4502
292	1861	4490
293	1864	4478
294	1872	4475
295	1877	4465
296	1885	4462
297	1893	4459
298	1903	4463
299	1909	4455
300	1914	4446
301	1920	4439
302	1931	4443
303	1938	4437
304	1943	4428
305	1948	4418
306	1954	4411
307	1958	4399
308	1962	4389
309	1968	4382
310	1972	4370
311	1976	4359
312	1983	4354
313	1990	4348
314	1996	4340
315	2000	4330
316	2012	4336
317	2018	4329
318	2023	4319
319	2029	4311
320	2034	4303
321	2040	4295
322	2046	4289
323	2051	4280
324	2055	4269
325	2060	4259
326	2069	4259
327	2075	4251
328	2082	4246
329	2088	4240
330	2097	4239
331	2102	4229
332	2105	4218
333	2118	4224
334	2123	4215
335	2129	4208
336	2134	4198
337	2138	4188
338	2145	4183
339	2151	4176
340	2155	4166
341	2165	4166
342	2170	4157
343	2177	4152
344	2184	4147
345	2192	4143
346	2201	4142
347	2207	4135
348	2212	4126
349	2216	4116
350	2222	4109
351	2228	4102
352	2232	4092
353	2239	4086
354	2244	4078
355	2249	4068
356	2264	4078
357	2274	4078
358	2300	4107
359	2310	4108
360	2317	4102
361	2325	4099
362	2333	4094
363	2341	4090
364	2348	4086
365	2358	4086
366	2364	4079
367	2372	4074
368	2376	4064
369	2382	4056
370	2387	4048
371	2393	4040
372	2400	4034
373	2407	4029
374	2412	4021
375	2422	4020
376	2427	4011
377	2434	4005
378	2439	3997
379	2443	3987
380	2450	3981
381	2459	3979
382	2467	3975
383	2475	3970
384	2480	3963
385	2487	3956
386	2495	3952
387	2508	3956
388	2521	3959
389	2525	3950
390	2531	3943
391	2536	3934
392	2540	3923
393	2544	3913
394	2551	3908
395	2555	3898
396	2561	3890
397	2567	3883
398	2573	3876
399	2580	3870
400	2584	3860
401	2588	3851
402	2594	3843
403	2600	3836
404	2604	3826
405	2610	3819
406	2616	3812
407	2620	3802
408	2627	3796
409	2632	3788
410	2636	3778
411	2641	3769
412	2647	3763
413	2653	3756
414	2659	3748
415	2664	3740
416	2671	3735
417	2678	3729
418	2683	3720
419	2689	3714
420	2697	3709
421	2722	3729
422	2730	3724
423	2735	3716
424	2742	3710
425	2746	3701
426	2751	3691
427	2759	3687
428	2766	3681
429	2776	3680
430	2780	3671
431	2785	3662
432	2791	3655
433	2796	3646
434	2801	3638
435	2806	3630
436	2812	3623
437	2816	3613
438	2823	3608
439	2828	3599
440	2832	3590
441	2841	3587
442	2846	3578
443	2851	3570
444	2858	3564
445	2862	3555
446	2868	3548
447	2873	3540
448	2878	3531
449	2884	3525
450	2892	3520
451	2899	3515
452	2908	3511
453	2912	3503
454	2917	3495
455	2923	3487
456	2927	3478
457	2933	3471
458	2940	3465
459	2944	3456
460	2952	3451
461	2956	3442
462	2960	3433
463	2975	3436
464	2981	3430
465	2987	3423
466	2991	3414
467	2996	3406
468	3002	3399
469	3006	3390
470	3015	3387
471	3022	3381
472	3033	3379
473	3039	3373
474	3044	3365
475	3051	3359
476	3055	3350
477	3059	3341
478	3067	3336
479	3074	3330
480	3080	3323
481	3092	3323
482	3098	3316
483	3105	3311
484	3110	3302
485	3116	3295
486	3122	3289
487	3128	3282
488	3134	3275
489	3139	3268
490	3145	3260
491	3151	3254
492	3155	3245
493	3161	3238
494	3166	3230
495	3171	3222
496	3175	3214
497	3183	3208
498	3188	3200
499	3195	3195
500	3200	3187
501	3204	3178
502	3211	3172
503	3215	3164
504	3219	3155
505	3233	3157
506	3239	3150
507	3244	3141
508	3250	3135
509	3254	3126
510	3258	3118
511	3271	3117
512	3279	3113
513	3293	3114
514	3300	3108
515	3306	3101
516	3312	3094
517	3316	3086
518	3323	3080
519	3328	3072
520	3332	3063
521	3338	3057
522	3344	3049
523	3348	3041
524	3356	3036
525	3362	3029
526	3369	3024
527	3377	3019
528	3385	3014
529	3392	3008
530	3397	3001
531	3404	2994
532	3410	2988
533	3417	2982
534	3422	2974
535	3430	2970
536	3436	2963
537	3443	2957
538	3450	2951
539	3457	2945
540	3462	2937
541	3470	2933
542	3476	2926
543	3498	2932
544	3508	2929
545	3522	2929
546	3527	2921
547	3535	2915
548	3541	2909
549	3549	2904
550	3554	2896
551	3559	2888
552	3564	2881
553	3570	2874
554	3574	2866
555	3580	2859
556	3589	2854
557	3593	2846
558	3600	2840
559	3604	2832
560	3608	2823
561	3615	2818
562	3622	2811
563	3630	2806
564	3635	2799
565	3639	2790
566	3644	2783
567	3650	2776
568	3654	2768
569	3662	2762
570	3667	2755
571	3672	2748
572	3677	2740
573	3690	2738
574	3699	2734
575	3714	2734
576	3720	2727
577	3728	2722
578	3734	2715
579	3739	2708
580	3753	2707
581	3761	2701
582	3765	2693
583	3772	2687
584	3781	2682
585	3789	2677
586	3795	2670
587	3801	2663
588	3808	2657
589	3815	2651
590	3820	2644
591	3826	2637
592	3830	2629
593	3834	2621
594	3841	2615
595	3845	2606
596	3849	2598
597	3855	2591
598	3860	2584
599	3865	2577
600	3874	2572
601	3885	2568
602	3892	2562
603	3896	2554
604	3900	2546
605	3907	2540
606	3913	2533
607	3919	2526
608	3924	2519
609	3929	2512
610	3933	2504
611	3940	2498
612	3944	2490
613	3948	2482
614	3956	2477
615	3961	2469
616	3966	2462
617	3973	2456
618	3979	2449
619	3985	2442
620	3991	2436
621	3995	2428
622	4002	2422
623	4012	2417
624	4019	2411
625	4023	2403
626	4027	2396
627	4036	2390
628	4040	2383
629	4048	2377
630	4055	2371
631	4060	2364
632	4070	2359
633	4075	2352
634	4084	2347
635	4092	2342
636	4099	2336
637	4106	2329
638	4112	2323
639	4119	2317
640	4124	2309
641	4131	2304
642	4136	2296
643	4141	2289
644	4145	2281
645	4150	2274
646	4155	2266
647	4159	2259
648	4166	2253
649	4171	2246
650	4175	2238
651	4182	2232
652	4186	2224
653	4189	2216
654	4197	2210
655	4201	2203
656	4206	2196
657	4212	2189
658	4218	2182
659	4228	2178
660	4233	2171
661	4238	2164
662	4244	2157
663	4251	2151
664	4257	2144
665	4268	2140
666	4274	2133
667	4281	2128
668	4297	2126
669	4302	2119
670	4309	2112
671	4316	2107
672	4327	2102
673	4332	2095
